000.028139 -00.781661 0.824 0.064 
000.029825 -09.727734 0.477 0.053 
000.051353 -00.845158 0.794 0.194 
000.093897 -10.861716 0.789 0.084 
000.095315 -00.109913 0.415 0.013 
000.105847 +25.290666 0.576 0.041 
000.141922 -05.489542 0.522 0.009 
000.141964 -01.138881 0.639 0.032 
000.216036 +27.401460 0.585 0.018 
000.251732 -04.461908 0.447 0.014 
000.266894 +00.065506 0.557 0.033 
000.292066 +27.589004 0.581 0.052 
000.315689 +28.946466 0.646 0.044 
000.335103 -05.361357 0.738 0.182 
000.361884 +27.333370 0.747 0.026 
000.364573 +00.633149 0.522 0.028 
000.396102 +24.832921 0.758 0.102 
000.428300 +25.251134 0.618 0.016 
000.499863 +27.922529 0.501 0.060 
000.523208 +00.344954 0.704 0.129 
000.536394 -05.148645 0.534 0.028 
000.595319 -03.905245 0.650 0.092 
000.596090 +27.399593 0.683 0.019 
000.617328 +23.929980 0.575 0.018 
000.652082 +25.695361 0.630 0.050 
000.671208 -05.440870 0.511 0.027 
000.691655 -01.142207 0.347 0.049 
000.719916 +13.892250 0.619 0.083 
000.724214 +16.176639 0.434 0.075 
000.760780 +24.098831 0.656 0.032 
000.784689 -09.696389 0.708 0.065 
000.789401 +27.392499 0.502 0.044 
000.874619 +26.813594 0.642 0.065 
000.879487 -05.190542 0.618 0.031 
000.942166 +26.056742 0.989 0.116 
000.990099 -00.827513 1.043 0.044 
001.034223 +24.208682 0.696 0.077 
001.043433 -03.669055 0.459 0.015 
001.045875 -05.444807 0.525 0.047 
001.090144 +28.356093 0.580 0.014 
001.097910 +27.324390 0.630 0.035 
001.099312 +29.017511 0.611 0.019 
001.120800 +00.967254 0.525 0.033 
001.156925 -05.958703 0.433 0.027 
001.173976 +15.478096 0.625 0.049 
001.178349 +26.989070 0.461 0.065 
001.196075 +24.117666 0.620 0.109 
001.274385 -04.080351 0.588 0.014 
001.341733 -09.541846 0.616 0.156 
001.443382 -09.665217 0.567 0.092 
001.444593 +29.260824 0.613 0.011 
001.444794 +27.513654 0.768 0.019 
